Name	Set	Imagefile	Copies	Type	Class/Encounter Set	Unique	Traits	Number	Script
Roland Banks The Fed	Core	AHC01_1a,AHC01_1b	1	Investigator	Guardian	*	Agency. Detective	1	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Roland Banks Mini Card	Core	AHC01_1mini,AHC01_1bmini	1	Investigator Mini Card					
Daisy Walker The Librarian	Core	AHC01_2a,AHC01_2b	1	Investigator	Seeker	*	Miskatonic.	2	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Daisy Walker Mini Card	Core	AHC01_2mini,AHC01_2bmini	1	Investigator Mini Card					
Skids OToole The Ex-Con	Core	AHC01_3a,AHC01_3b	1	Investigator	Rogue	*	Criminal.	3	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Skids OToole Mini Card	Core	AHC01_3mini,AHC01_3bmini	1	Investigator Mini Card					
Agnes Baker The Waitress	Core	AHC01_4a,AHC01_4b	1	Investigator	Mystic	*	Sorcerer	4	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Agnes Baker Mini Card	Core	AHC01_4mini,AHC01_4bmini	1	Investigator Mini Card					
Wendy Adams The Urchin	Core	AHC01_5a,AHC01_5b	1	Investigator	Survivor	*	Drifter.	5	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Wendy Adams Mini Card	Core	AHC01_5mini,AHC01_5bmini	1	Investigator Mini Card					
Rolands 38 Special	Core	AHC01_6	1	Asset	Starter	*	Item. Weapon. Firearm.	6	
Cover Up	Core	AHC01_7	1	Treachery	Weakness		Task.	7	
Daisys Tote Bag	Core	AHC01_8	1	Asset	Starter	*	Item.	8	
The Necronomicon (John D. Translation)	Core	AHC01_9	1	Asset	Weakness		Item. Tome.	9	
On The Lam	Core	AHC01_10	1	Event	Starter		Tactic.	10	
Hospital Debts	Core	AHC01_11	1	Treachery	Weakness		Task.	11
Heirloom of Hyperborea	Core	AHC01_12	1	Asset	Starter	*	Item. Relic.	12
Dark Memory	Core	AHC01_13	1	Event	Weakness		Spell.	13
Wendy's Amulet	Core	AHC01_14	1	Asset	Starter	*	Item. Relic.	14
Abandoned and Alone	Core	AHC01_15	1	Treachery	Weakness		Madness.	15
45 Automatic	Core	AHC01_16	1	Asset	Guardian		Item. Weapon. Firearm.	16
Physical Training	Core	AHC01_17	1	Asset	Guardian		Talent.	17
Beat Cop	Core	AHC01_18	1	Asset	Guardian		Ally. Police.	18
First Aid	Core	AHC01_19	1	Asset	Guardian		Talent. Science.	19
Machete	Core	AHC01_20	1	Asset	Guardian		Item. Weapon. Melee.	20
Guard Dog	Core	AHC01_21	1	Asset	Guardian		Ally. Creature.	21
Evidence!	Core	AHC01_22	1	Event	Guardian		Insight.	22
Dodge	Core	AHC01_23	1	Event	Guardian		Tactic.	23
Dynamite Blast	Core	AHC01_24	1	Event	Guardian		Tactic.	24
Vicious Blow	Core	AHC01_25	1	Skill	Guardian		Practiced.	25
Extra Ammunition (Level 1)	Core	AHC01_26	1	Event	Guardian		Supply.	26
Police Badge (Level 2)	Core	AHC01_27	1	Asset	Guardian		Item.	27
Beat Cop (Level 2)	Core	AHC01_28	1	Asset	Guardian		Ally. Police.	28
Shotgun (Level 4)	Core	AHC01_29	1	Asset	Guardian		Item. Weapon. Firearm.	29
Magnifying Glass	Core	AHC01_30	1	Asset	Seeker		Item. Tool.	30
Old Book of Lore	Core	AHC01_31	1	Asset	Seeker		Item. Tome.	31
Research Librarian	Core	AHC01_32	1	Asset	Seeker		Ally. Miskatonic.	32
Dr. Milan Christopher	Core	AHC01_33	1	Asset	Seeker	*	Ally. Miskatonic.	33
Hyperawareness	Core	AHC01_34	1	Asset	Seeker		Talent.	34
Medical Texts	Core	AHC01_35	1	Asset	Seeker		Item. Tome.	35
Mind Over Matter	Core	AHC01_36	1	Event	Seeker		Insight.	36
Working a Hunch	Core	AHC01_37	1	Event	Seeker		Insight.	37
Barricade	Core	AHC01_38	1	Event	Seeker		Insight. Tactic.	38
Deduction	Core	AHC01_39	1	Skill	Seeker		Practiced.	39
Magnifying Glass (Level 1)	Core	AHC01_40	1	Asset	Seeker		Item. Tool.	40
Disc of Itzamna (Level 2)	Core	AHC01_41	1	Asset	Seeker	*	Item. Relic.	41
Encyclopedia (Level 2)	Core	AHC01_42	1	Asset	Seeker		Item. Tome.	42
Cryptic Research (Level 4)	Core	AHC01_43	1	Event 	Seeker		Insight.	43
Switchblade	Core	AHC01_44	1	Asset	Rogue		Item. Weapon. Melee. Illicit.	44
Burglary 	Core	AHC01_45	1	Asset	Rogue		Talent. Illicit.	45
Pickpocketing	Core	AHC01_46	1	Asset	Rogue		Talent. Illicit.	46
41 Derringer	Core	AHC01_47	1	Asset	Rogue		Item. Weapon. Firearm. Illicit.	47
Leo De Luca	Core	AHC01_48	1	Asset	Rogue	*	Ally. Criminal.	48
